# Pipe puzzles: 2 slots, 4 distinct tray pipes, start/target on 1–20 ruler.
# Schema: id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
1,8,12,1,5,3,8,+,+,1,3
2,11,18,6,5,1,3,+,+,6,1
3,8,15,2,3,4,6,+,+,3,4
4,11,20,1,8,6,2,+,+,8,1
5,11,19,5,2,6,7,+,+,2,6
6,13,18,3,2,7,8,+,+,2,3
7,10,15,8,3,6,2,+,+,3,2
8,11,17,3,2,1,5,+,+,5,1
9,11,20,3,6,7,4,+,+,3,6
10,3,7,1,6,3,2,+,+,3,1
11,7,19,7,4,5,6,+,+,5,7
12,10,19,7,2,1,5,+,+,2,7
13,5,19,4,8,3,6,+,+,8,6
14,4,9,3,6,2,7,+,+,3,2
15,4,10,7,4,5,2,+,+,2,4
16,10,19,1,8,3,5,+,+,1,8
17,6,12,2,4,3,1,+,+,2,4
18,3,12,4,2,7,6,+,+,2,7
19,11,16,4,3,6,1,+,+,1,4
20,2,10,4,7,3,1,+,+,7,1
21,2,12,3,6,5,7,+,+,3,7
22,6,19,5,6,4,8,+,+,5,8
23,10,16,3,5,2,1,+,+,1,5
24,5,15,4,3,2,8,+,+,8,2
25,2,12,6,4,3,8,+,+,4,6
26,2,15,7,6,3,2,+,+,7,6
27,5,20,8,5,6,7,+,+,8,7
28,8,15,3,5,1,6,+,+,1,6
29,2,9,5,6,2,8,+,+,5,2
30,10,20,1,8,2,3,+,+,8,2
31,13,19,8,1,5,3,+,+,5,1
32,13,19,5,4,1,7,+,+,5,1
33,13,17,3,2,8,1,+,+,3,1
34,9,20,6,5,8,1,+,+,5,6
35,6,13,8,3,1,4,+,+,3,4
36,7,18,7,3,4,5,+,+,7,4
37,2,10,2,6,7,3,+,+,2,6
38,10,15,3,4,2,8,+,+,3,2
39,9,15,1,8,5,3,+,+,5,1
40,9,18,8,4,5,6,+,+,4,5
41,9,18,6,2,5,4,+,+,5,4
42,7,19,4,8,6,3,+,+,8,4
43,3,16,6,2,7,5,+,+,6,7
44,8,13,6,4,8,1,+,+,1,4
45,3,14,3,2,8,4,+,+,3,8
46,11,20,7,1,3,8,+,+,8,1
47,14,20,7,5,3,1,+,+,5,1
48,7,15,7,1,3,2,+,+,7,1
49,6,16,4,7,6,5,+,+,4,6
50,8,19,5,8,6,1,+,+,6,5
51,14,20,2,4,8,1,+,+,4,2
52,10,15,8,4,3,2,+,+,2,3
53,8,19,2,6,1,5,+,+,6,5
54,8,14,2,8,4,1,+,+,4,2
55,2,7,8,4,2,3,+,+,2,3
56,3,10,8,1,6,3,+,+,6,1
57,7,11,8,7,1,3,+,+,3,1
58,14,20,4,7,5,2,+,+,4,2
59,9,14,1,2,7,4,+,+,4,1
60,4,18,8,4,6,3,+,+,8,6
61,6,19,7,6,4,2,+,+,7,6
62,10,19,4,3,2,7,+,+,7,2
63,9,19,4,2,6,3,+,+,6,4
64,3,17,8,2,6,3,+,+,6,8
65,13,20,4,5,3,6,+,+,4,3
66,11,20,5,6,4,7,+,+,5,4
67,11,17,1,7,3,5,+,+,5,1
68,13,20,8,1,6,2,+,+,6,1
69,12,18,5,4,7,2,+,+,4,2
70,14,19,1,4,8,6,+,+,4,1
71,10,16,7,8,4,2,+,+,2,4
72,5,16,5,2,3,8,+,+,8,3
73,11,18,1,8,3,6,+,+,6,1
74,2,12,2,6,7,4,+,+,4,6
75,8,16,7,6,1,3,+,+,1,7
76,9,19,2,6,3,7,+,+,7,3
77,10,17,4,2,1,3,+,+,3,4
78,11,19,7,1,5,4,+,+,7,1
79,8,17,3,2,6,5,+,+,6,3
80,2,15,3,4,5,8,+,+,5,8
81,10,20,2,3,1,7,+,+,3,7
82,7,10,2,6,7,1,+,+,1,2
83,11,19,5,1,4,3,+,+,3,5
84,7,15,1,5,3,6,+,+,3,5
85,3,14,2,5,1,6,+,+,6,5
86,6,17,7,4,8,6,+,+,4,7
87,11,19,3,2,1,5,+,+,5,3
88,10,19,6,5,4,7,+,+,4,5
89,2,10,2,7,6,4,+,+,6,2
90,8,16,1,2,6,3,+,+,2,6
91,13,18,4,6,1,3,+,+,4,1
92,4,14,3,2,6,7,+,+,7,3
93,3,13,3,4,7,2,+,+,7,3
94,8,19,4,2,7,1,+,+,7,4
95,5,14,4,7,6,2,+,+,2,7
96,7,14,6,1,4,2,+,+,6,1
97,4,9,1,7,2,4,+,+,1,4
98,9,19,8,2,7,6,+,+,8,2
99,6,13,1,8,3,4,+,+,3,4
100,2,9,6,2,5,3,+,+,2,5
