# Pipe puzzles: 2 slots, 4 distinct tray pipes, start/target on 1–20 ruler.
# Schema: id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
1,2,11,4,5,2,6,+,+,4,5
2,2,13,6,5,1,3,+,+,6,5
3,5,12,1,3,2,6,+,+,6,1
4,14,18,3,6,1,2,+,+,1,3
5,8,16,1,6,3,2,+,+,6,2
6,5,15,3,6,4,5,+,+,6,4
7,5,13,3,5,1,6,+,+,5,3
8,3,11,2,6,3,1,+,+,6,2
9,7,13,4,3,2,1,+,+,2,4
10,9,15,2,3,5,1,+,+,1,5
11,5,13,5,1,3,6,+,+,3,5
12,10,13,2,4,1,5,+,+,2,1
13,13,20,6,4,5,1,+,+,1,6
14,2,13,4,5,6,2,+,+,5,6
15,14,19,2,3,1,6,+,+,3,2
16,5,14,6,5,1,3,+,+,6,3
17,12,15,6,5,1,2,+,+,2,1
18,4,14,5,6,4,2,+,+,6,4
19,6,14,6,4,5,3,+,+,3,5
20,5,12,6,2,5,3,+,+,5,2
21,2,12,1,4,6,2,+,+,4,6
22,2,9,1,5,4,2,+,+,5,2
23,12,18,1,4,5,3,+,+,5,1
24,12,20,3,1,4,5,+,+,5,3
25,10,20,2,1,6,4,+,+,4,6
26,11,20,3,4,5,1,+,+,4,5
27,2,7,1,3,6,2,+,+,2,3
28,11,14,2,1,4,6,+,+,2,1
29,4,11,6,1,3,2,+,+,6,1
30,10,17,2,1,4,3,+,+,4,3
31,5,14,5,6,4,1,+,+,5,4
32,10,15,2,3,1,6,+,+,2,3
33,9,13,2,3,1,5,+,+,1,3
34,8,12,5,1,3,6,+,+,3,1
35,11,15,1,5,3,6,+,+,3,1
36,6,16,1,6,4,5,+,+,6,4
37,10,17,1,5,2,3,+,+,5,2
38,13,18,3,6,4,2,+,+,2,3
39,3,10,4,2,1,3,+,+,4,3
40,2,10,6,5,2,4,+,+,6,2
41,2,6,1,5,6,3,+,+,1,3
42,7,14,5,6,1,3,+,+,6,1
43,3,10,1,3,5,2,+,+,5,2
44,6,13,1,3,2,4,+,+,3,4
45,10,14,2,5,3,1,+,+,3,1
46,4,10,1,5,3,2,+,+,5,1
47,12,17,1,2,3,6,+,+,3,2
48,13,20,6,5,3,1,+,+,6,1
49,8,16,2,5,1,3,+,+,5,3
50,4,10,3,4,5,2,+,+,2,4
51,2,10,1,6,3,2,+,+,6,2
52,6,11,1,3,4,6,+,+,4,1
53,2,10,5,1,4,3,+,+,5,3
54,5,14,2,4,5,6,+,+,4,5
55,10,16,2,5,3,4,+,+,4,2
56,5,12,1,2,3,4,+,+,4,3
57,12,20,2,1,5,3,+,+,3,5
58,2,13,4,5,6,2,+,+,6,5
59,8,15,2,6,1,3,+,+,6,1
60,2,8,4,3,1,2,+,+,2,4
61,7,11,3,2,1,6,+,+,3,1
62,14,20,3,5,4,1,+,+,5,1
63,6,16,6,4,1,3,+,+,6,4
64,11,18,4,3,5,1,+,+,4,3
65,8,16,2,5,3,1,+,+,3,5
66,3,9,4,3,2,5,+,+,2,4
67,10,15,1,2,3,6,+,+,2,3
68,5,12,4,3,5,1,+,+,4,3
69,13,19,1,3,5,2,+,+,5,1
70,5,14,3,1,6,4,+,+,6,3
71,8,14,4,5,3,1,+,+,1,5
72,13,20,5,1,6,4,+,+,6,1
73,12,19,6,5,3,2,+,+,2,5
74,12,19,5,3,6,4,+,+,4,3
75,14,19,3,4,1,6,+,+,4,1
76,5,13,5,1,6,3,+,+,3,5
77,10,17,5,3,6,1,+,+,1,6
78,5,15,1,6,4,5,+,+,6,4
79,3,6,2,1,4,6,+,+,2,1
80,4,11,3,1,5,4,+,+,3,4
81,11,17,4,5,1,3,+,+,5,1
82,11,14,1,4,2,6,+,+,1,2
83,10,14,1,5,2,3,+,+,3,1
84,12,18,4,1,3,2,+,+,2,4
85,6,14,3,2,6,1,+,+,2,6
86,10,18,2,1,3,5,+,+,3,5
87,10,19,5,4,2,6,+,+,5,4
88,6,16,6,3,4,1,+,+,4,6
89,8,17,3,6,1,5,+,+,6,3
90,13,20,6,3,1,2,+,+,6,1
91,7,14,5,6,4,3,+,+,3,4
92,6,17,6,4,2,5,+,+,6,5
93,14,17,6,5,1,2,+,+,2,1
94,10,13,4,2,1,5,+,+,2,1
95,10,17,4,1,5,6,+,+,1,6
96,2,8,5,4,1,3,+,+,1,5
97,7,16,5,1,4,6,+,+,5,4
98,9,16,5,2,6,3,+,+,2,5
99,12,15,2,4,1,5,+,+,2,1
100,10,18,5,3,1,2,+,+,5,3
