id,start,target,pipes,solution
1,11,14,2|1|12|5|4,+1|+2
2,10,21,7|1|14|2|4,+4|+7
3,12,14,11|12|9|7|4,+4|+9|-11
4,6,7,5|3|4|6|2,+6|-5
5,14,9,6|10|5|1|8,+1|-6
6,14,15,11|10|6|14|4,+11|-10
7,2,7,14|4|2|7|5,+2|-4|+7
8,11,25,5|12|11|13|2,+2|+12
9,8,26,7|5|11|12|9,+11|+7
10,11,4,8|7|11|15|3,+7|-3|-11
11,1,21,12|15|5|9|3,+5|+15
12,6,7,13|3|9|15|1,+15|-13|-1
13,4,13,1|4|10|2|12,+1|-4|+12
14,5,8,9|14|10|7|4,+10|-7
15,10,23,9|4|10|14|1,+9|+4
16,15,23,1|14|6|2|9,+6|+2
17,9,30,3|12|10|13|8,+13|+8
18,2,17,2|11|7|6|13,+6|+2|+7
19,7,15,12|6|13|2|4,+6|+2
20,7,16,3|5|8|4|2,+2|+3|+4
21,7,27,1|7|5|8|13,+13|+8|-1
22,4,2,1|10|12|9|15,+1|-15|+12
23,1,17,9|2|3|14|10,+2|+14
24,15,13,10|4|15|13|1,+13|-15
25,4,15,11|12|6|4|5,+12|-6|+5
26,1,27,8|10|14|2|12,+12|+14
27,11,30,14|9|5|11|2,+5|+14
28,12,14,9|3|5|13|10,+5|-3
29,9,4,8|5|1|2|11,+1|-8|+2
30,5,10,6|13|1|15|4,+6|-1
31,10,15,12|3|4|14|15,+12|-3|-4
32,13,28,11|14|12|4|5,+11|+4
33,14,16,8|4|14|15|6,+4|+6|-8
34,6,9,5|14|2|15|6,+6|+2|-5
35,3,14,10|5|1|2|15,+1|+15|-5
36,15,18,10|4|5|1|7,+7|-4
37,6,18,7|12|5|9|3,+9|+3
38,10,3,10|5|7|9|1,+7|-5|-9
39,8,12,8|11|4|9|15,+8|-4
40,2,20,14|13|4|11|5,+13|+5
41,7,22,4|3|11|12|1,+12|+3
42,13,26,12|9|8|1|14,+12|+1
43,13,25,8|11|9|13|10,+13|-10|+9
44,12,6,14|8|15|5|4,+4|+5|-15
45,8,19,2|12|5|4|13,+5|+2|+4
46,1,3,6|5|13|7|12,+7|-5
47,7,6,8|1|7|6|11,+1|+6|-8
48,10,13,10|11|1|2|14,+11|+2|-10
49,7,26,6|4|8|15|12,+8|+15|-4
50,1,17,12|9|1|6|4,+12|+4
51,4,21,14|1|10|3|4,+3|+14
52,8,26,12|5|13|6|3,+5|+13
53,10,26,1|5|10|11|7,+5|+1|+10
54,12,13,13|5|11|10|2,+11|-10
55,2,21,9|11|6|1|7,+9|-1|+11
56,7,4,3|12|9|11|5,+11|-5|-9
57,14,11,4|14|2|5|8,+5|-8
58,5,24,15|10|12|5|9,+9|+10
59,4,5,12|7|8|9|4,+9|+4|-12
60,12,3,9|13|12|3|4,+3|-12
61,2,21,14|4|5|15|6,+5|+14
62,8,17,8|6|3|1|5,+8|-5|+6
63,10,18,11|15|1|3|12,+11|-15|+12
64,11,20,4|5|11|2|3,+5|+4
65,2,28,11|4|5|15|10,+15|+11
66,11,25,3|5|15|2|1,+15|-1
67,13,22,11|14|5|10|1,+10|-1
68,3,13,10|7|11|8|2,+11|-8|+7
69,14,23,3|6|7|12|8,+12|+3|-6
70,5,7,6|2|13|7|9,+9|-7
71,1,4,4|9|6|10|8,+4|+9|-10
72,8,28,15|12|8|2|1,+12|+8
73,9,12,12|5|7|8|15,+8|-5
74,4,1,15|10|9|12|3,+9|-12
75,15,16,13|9|5|1|15,+15|-1|-13
76,6,21,6|9|13|14|7,+13|+9|-7
77,1,8,3|9|10|6|2,+3|+6|-2
78,14,25,11|3|2|8|5,+5|+8|-2
79,11,19,11|5|4|12|2,+11|+2|-5
80,8,7,15|10|3|4|8,+4|+3|-8
81,15,19,5|11|9|3|2,+9|-2|-3
82,8,6,14|5|4|7|8,+5|-7
83,10,19,5|12|15|1|11,+15|+5|-11
84,14,22,15|5|13|4|10,+5|-10|+13
85,11,28,2|11|14|1|5,+2|+14|+1
86,15,9,5|6|12|7|3,+6|-12
87,13,19,4|14|11|12|13,+13|-11|+4
88,5,18,9|2|8|6|11,+11|-6|+8
89,11,27,4|8|1|10|9,+9|+8|-1
90,15,25,12|5|11|7|2,+12|-2
91,8,16,2|15|4|9|3,+9|-4|+3
92,15,20,7|11|2|8|10,+2|-7|+10
93,8,5,8|4|6|2|11,+11|-6|-8
94,4,17,2|14|8|15|11,+11|+2
95,14,24,14|4|6|3|10,+6|+4
96,9,17,5|13|3|2|11,+13|-5
97,12,13,7|9|2|12|13,+12|+2|-13
98,9,6,4|10|1|12|11,+12|-4|-11
99,7,26,11|2|8|12|13,+11|+8
100,2,8,3|5|10|11|13,+11|-10|+5
