id,start,target,pipes,solution
1,11,23,12|10|14|9|19,+9|-19|+12|+10
2,12,13,16|3|8|18|14,+8|-18|+14|-3
3,16,8,4|3|22|15|8,+3|-4|+8|-15
4,10,3,21|12|9|7|23,+9|-7|+12|-21
5,3,19,13|5|3|17|16,+5|+17|-16|+13|-3
6,4,21,11|6|19|22|25,+25|-11|+6|-22|+19
7,12,4,17|12|10|13|19,+12|-17|+10|-13
8,5,14,12|6|17|18|16,+6|+16|-18|+17|-12
9,14,10,3|9|8|18|10,+3|+10|-8|+9|-18
10,4,14,23|6|15|20|11,+11|-6|+20|-15
11,4,11,5|14|22|9|10,+5|+14|-22|+10
12,19,15,5|21|7|22|6,+5|-22|+7|+6
13,9,19,10|7|6|18|3,+3|-10|+18|-7|+6
14,7,28,12|10|17|3|25,+10|+3|-17|+25
15,12,24,18|11|7|24|14,+11|-7|+14|-24|+18
16,13,10,25|8|10|18|17,+17|-10|+8|-18
17,7,18,10|17|4|9|5,+5|+4|+9|-17|+10
18,7,5,21|18|15|11|24,+18|-24|+15|-11
19,3,18,13|11|8|5|19,+5|+8|-11|+13
20,24,25,5|24|21|12|11,+5|-12|+11|-24|+21
21,8,26,3|16|6|25|5,+16|+5|-6|+3
22,13,19,14|13|8|10|19,+8|-10|+13|-19|+14
23,22,3,4|19|11|24|15,+4|-19|+11|-15
24,7,20,7|15|22|6|23,+22|-23|+15|-7|+6
25,23,10,15|6|23|14|5,+6|-23|+14|-15|+5
26,3,6,5|11|7|10|22,+11|-10|+7|-5
27,5,24,7|4|25|22|19,+22|-4|+7|-25|+19
28,19,14,12|6|11|14|20,+11|-20|+6|+12|-14
29,11,24,4|16|12|9|10,+16|-10|+12|-9|+4
30,13,6,4|9|23|20|14,+4|-14|+23|-20
31,15,20,22|9|3|7|4,+3|+4|-9|+7
32,6,14,14|8|15|10|9,+15|-14|+8|-10|+9
33,7,23,7|16|11|5|23,+16|+5|-23|+11|+7
34,6,2,11|12|19|9|5,+9|+12|-19|+5|-11
35,15,18,23|7|6|18|8,+8|+7|-18|+6
36,4,28,3|11|17|8|12,+17|-8|+3|+12
37,3,25,17|10|11|9|7,+17|-7|+10|-9|+11
38,3,23,11|16|13|3|15,+13|-11|+15|+3
39,15,17,10|18|12|21|17,+10|-17|+18|-21|+12
40,6,5,6|12|14|4|13,+4|+14|-13|+6|-12
41,8,5,19|21|16|3|8,+21|-16|+8|-19|+3
42,11,19,11|10|7|13|19,+11|-7|+13|-19|+10
43,8,16,21|15|25|16|13,+21|-25|+13|-16|+15
44,16,21,22|15|10|21|23,+10|-21|+23|-22|+15
45,5,12,18|14|8|6|7,+7|+8|+6|-14
46,9,17,10|15|8|11|17,+11|-8|+15|-10
47,13,14,3|7|6|10|9,+6|-9|+7|-3
48,9,11,12|6|19|9|20,+19|-12|+9|-20|+6
49,8,21,25|4|7|19|5,+5|-7|+19|-4
50,13,6,7|17|23|16|8,+17|-8|+7|-23
51,6,26,21|19|17|5|12,+17|-21|+19|+5
52,16,10,8|12|21|14|16,+8|-16|+14|-12
53,5,14,11|13|10|9|12,+12|+11|-13|+9|-10
54,12,28,12|8|9|10|5,+12|-9|+5|+8
55,6,7,21|18|10|15|22,+18|-10|+15|-22
56,18,17,13|8|3|16|25,+8|+3|-25|+13
57,3,13,16|8|19|25|23,+25|-23|+16|-8
58,7,13,9|24|14|7|19,+14|+7|-24|+9
59,10,11,20|16|7|15|17,+16|-20|+15|+7|-17
60,13,27,10|5|8|15|14,+8|-14|+15|+5
61,9,21,4|8|15|20|9,+8|+9|-20|+15
62,4,1,11|21|24|19|17,+24|-17|+11|-21
63,3,28,25|11|20|8|23,+11|-8|+20|-23|+25
64,12,10,3|16|18|7|4,+16|-7|+4|-18|+3
65,6,29,16|24|18|8|5,+18|+5|-24|+8|+16
66,21,23,24|5|23|7|13,+7|-23|+5|+13
67,13,17,9|10|3|20|17,+10|-17|+20|-9
68,25,30,5|4|20|25|16,+4|-20|+5|+16
69,11,20,5|17|20|23|7,+17|-20|+5|+7
70,12,5,12|23|14|18|20,+14|-18|+20|-23
71,4,12,12|3|17|7|5,+17|-5|+3|-7
72,11,21,12|23|18|5|15,+12|-15|+18|-5
73,11,5,7|14|18|19|9,+18|-14|+9|-19
74,10,19,19|20|6|16|12,+12|-16|+19|-6
75,7,22,5|7|18|17|21,+18|-17|+21|-7
76,4,13,18|10|5|9|13,+18|-10|+5|-13|+9
77,16,23,11|15|5|21|16,+11|-15|+16|-5
78,9,30,19|5|3|25|13,+13|-19|+5|-3|+25
79,13,3,23|20|15|13|22,+15|-22|+20|-23
80,14,24,19|11|10|5|13,+5|-11|+10|-13|+19
81,14,11,12|17|4|15|5,+15|-5|+4|-17
82,9,11,18|4|13|15|22,+15|-22|+13|-4
83,12,20,19|5|25|3|9,+5|+9|-25|+19
84,11,1,9|17|13|3|15,+9|-17|+13|-15
85,11,2,6|3|18|13|10,+13|-18|+6|-10
86,13,9,15|11|10|7|5,+10|+5|-11|+7|-15
87,3,16,19|13|7|8|4,+4|+13|+8|-19|+7
88,7,29,13|9|8|5|3,+13|-8|+9|+5|+3
89,6,21,6|9|12|19|7,+9|-7|+19|-6
90,4,27,19|21|12|16|13,+12|-13|+21|-16|+19
91,4,10,5|13|17|9|14,+14|+5|-17|+13|-9
92,3,1,13|12|8|9|23,+12|-9|+8|-13
93,11,20,7|3|9|14|25,+7|-3|+14|-9
94,12,14,19|21|12|13|4,+12|-19|+13|-4
95,15,24,6|12|19|4|20,+4|+6|-20|+19
96,7,23,15|4|10|5|13,+10|-4|+15|-5
97,4,9,9|13|12|6|7,+13|-9|+6|-12|+7
98,9,22,10|9|3|5|6,+9|-5|+3|+6
99,20,16,23|12|4|20|3,+4|-23|+12|+3
100,4,22,9|3|15|25|22,+15|+9|-25|+22|-3
