# Pipe puzzles: 2 slots, 4 distinct tray pipes, start/target on 1–20 ruler.
# Schema: id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
1,16,20,8,5,6,2,-,+,2,6
2,8,5,7,1,8,5,+,-,5,8
3,17,20,7,3,6,5,-,+,3,6
4,6,2,6,5,2,8,+,-,2,6
5,16,18,8,7,5,4,-,+,5,7
6,17,18,6,4,8,3,-,+,3,4
7,5,2,5,2,7,6,+,-,2,5
8,5,2,8,5,7,6,+,-,5,8
9,5,1,8,7,4,6,+,-,4,8
10,17,14,7,4,6,5,-,+,7,4
11,4,1,1,5,4,6,+,-,1,4
12,17,18,6,4,8,3,-,+,3,4
13,17,16,8,3,5,6,-,+,6,5
14,16,19,8,4,3,6,-,+,3,6
15,13,19,3,2,8,1,-,+,2,8
16,7,2,2,4,7,8,+,-,2,7
17,16,20,6,4,5,8,-,+,4,8
18,4,5,3,6,8,5,+,-,6,5
19,15,19,5,2,8,6,-,+,2,6
20,6,2,7,2,8,3,+,-,3,7
21,16,17,4,7,2,6,-,+,6,7
22,17,16,4,6,2,7,-,+,7,6
23,17,16,8,3,5,6,-,+,6,5
24,3,2,2,3,7,5,+,-,2,3
25,7,3,6,7,8,3,+,-,3,7
26,16,20,8,7,4,5,-,+,4,8
27,15,19,5,2,8,6,-,+,2,6
28,8,4,4,8,1,2,+,-,4,8
29,6,3,7,5,1,8,+,-,5,8
30,17,16,8,3,5,6,-,+,6,5
31,3,1,2,7,3,4,+,-,2,4
32,16,17,5,8,4,2,-,+,4,5
33,3,2,2,3,7,5,+,-,2,3
34,14,13,5,8,7,3,-,+,8,7
35,3,6,6,1,3,7,+,-,6,3
36,16,17,7,2,4,6,-,+,6,7
37,16,20,7,8,2,3,-,+,3,7
38,17,13,8,5,4,3,-,+,8,4
39,17,20,5,7,2,6,-,+,2,5
40,17,20,4,8,1,6,-,+,1,4
41,7,6,7,2,8,5,+,-,7,8
42,4,6,7,5,8,1,+,-,7,5
43,15,19,5,4,2,8,-,+,4,8
44,17,18,5,8,6,3,-,+,5,6
45,3,1,3,1,4,7,+,-,1,3
46,16,20,5,8,1,2,-,+,1,5
47,5,4,7,2,4,5,+,-,4,5
48,14,18,7,8,2,3,-,+,3,7
49,3,6,6,1,3,7,+,-,6,3
50,4,6,6,1,4,5,+,-,6,4
51,14,19,7,8,2,1,-,+,2,7
52,13,15,6,8,3,7,-,+,6,8
53,17,20,5,7,2,6,-,+,2,5
54,14,17,6,4,8,5,-,+,5,8
55,13,14,8,3,5,7,-,+,7,8
56,17,20,7,2,6,5,-,+,2,5
57,3,1,4,5,8,7,+,-,5,7
58,14,15,2,7,6,4,-,+,6,7
59,6,1,6,8,1,2,+,-,1,6
60,17,19,5,1,4,6,-,+,4,6
61,14,19,7,8,2,1,-,+,2,7
62,13,15,6,8,3,7,-,+,6,8
63,7,5,4,5,8,7,+,-,5,7
64,17,20,7,6,2,3,-,+,3,6
65,15,17,1,5,6,8,-,+,6,8
66,16,15,4,2,6,7,-,+,7,6
67,6,7,4,2,8,7,+,-,8,7
68,13,19,5,2,8,3,-,+,2,8
69,7,3,8,3,5,7,+,-,3,7
70,6,5,2,7,4,6,+,-,6,7
71,3,5,1,5,7,6,+,-,7,5
72,15,13,3,6,8,7,-,+,8,6
73,3,1,1,6,7,3,+,-,1,3
74,14,19,7,8,2,1,-,+,2,7
75,17,18,3,7,5,8,-,+,7,8
76,16,15,7,2,4,6,-,+,7,6
77,6,1,7,8,3,1,+,-,3,8
78,5,1,3,5,2,6,+,-,2,6
79,13,19,5,8,2,7,-,+,2,8
80,3,5,6,7,1,5,+,-,7,5
81,14,18,4,8,1,6,-,+,4,8
82,17,18,3,7,5,8,-,+,7,8
83,5,6,8,4,7,2,+,-,8,7
84,16,18,7,6,1,8,-,+,6,8
85,5,4,8,5,6,3,+,-,5,6
86,4,7,4,7,8,2,+,-,7,4
87,3,5,6,7,1,5,+,-,7,5
88,17,20,1,5,7,8,-,+,5,8
89,3,6,4,6,5,8,+,-,8,5
90,14,19,7,4,2,6,-,+,2,7
91,5,4,7,2,8,5,+,-,7,8
92,4,1,6,4,2,3,+,-,3,6
93,3,4,8,4,5,2,+,-,5,4
94,3,7,6,1,8,4,+,-,8,4
95,4,2,5,8,4,3,+,-,3,5
96,5,6,7,4,6,2,+,-,7,6
97,17,20,1,5,7,8,-,+,5,8
98,6,5,6,8,3,5,+,-,5,6
99,6,7,7,4,8,2,+,-,8,7
100,17,20,6,1,4,8,-,+,1,4
