# Pipe puzzles: 2 slots, 4 distinct tray pipes, start/target on 1–20 ruler.
# Schema: id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
1,16,19,5,6,4,3,-,+,3,6
2,17,15,4,1,6,5,-,+,6,4
3,17,19,2,5,1,4,-,+,2,4
4,3,1,4,5,1,6,+,-,4,6
5,4,1,1,5,6,4,+,-,1,4
6,17,19,2,5,1,4,-,+,2,4
7,3,1,4,5,2,1,+,-,2,4
8,16,18,5,6,1,4,-,+,4,6
9,5,1,2,3,6,5,+,-,2,6
10,15,18,4,2,6,3,-,+,3,6
11,3,1,4,5,2,1,+,-,2,4
12,15,18,1,3,5,6,-,+,3,6
13,4,1,6,5,4,1,+,-,1,4
14,4,2,4,5,2,1,+,-,2,4
15,15,18,1,3,5,6,-,+,3,6
16,4,2,4,5,2,1,+,-,2,4
17,5,2,4,2,6,5,+,-,2,5
18,5,2,6,4,5,3,+,-,3,6
19,4,2,4,5,2,1,+,-,2,4
20,5,2,4,2,6,5,+,-,2,5
21,4,2,2,5,1,4,+,-,2,4
22,5,2,4,2,6,5,+,-,2,5
23,4,2,6,1,5,4,+,-,4,6
24,15,18,3,6,5,4,-,+,3,6
25,4,1,4,5,6,1,+,-,1,4
26,5,2,1,3,6,5,+,-,3,6
27,16,19,4,6,2,5,-,+,2,5
28,15,18,3,6,5,4,-,+,3,6
29,3,6,5,3,6,1,+,-,6,3
30,5,1,5,2,6,3,+,-,2,6
31,16,19,4,6,2,5,-,+,2,5
32,15,18,4,3,6,5,-,+,3,6
33,15,18,3,6,5,4,-,+,3,6
34,6,4,4,6,5,1,+,-,4,6
35,17,20,5,6,4,2,-,+,2,5
36,5,2,2,4,3,6,+,-,3,6
37,3,5,1,4,5,6,+,-,6,4
38,4,2,4,5,2,1,+,-,2,4
39,17,19,6,1,4,5,-,+,4,6
40,16,19,5,4,3,6,-,+,3,6
41,3,5,1,4,5,6,+,-,6,4
42,17,19,5,6,4,1,-,+,4,6
43,4,2,4,5,2,1,+,-,2,4
44,4,1,1,5,6,4,+,-,1,4
45,15,18,6,4,5,3,-,+,3,6
46,16,19,5,4,3,6,-,+,3,6
47,3,5,1,4,5,6,+,-,6,4
48,15,19,3,6,5,2,-,+,2,6
49,3,1,5,1,4,2,+,-,2,4
50,16,19,5,4,3,6,-,+,3,6
51,15,18,3,6,2,4,-,+,3,6
52,16,19,5,4,3,6,-,+,3,6
53,6,2,2,6,5,3,+,-,2,6
54,15,18,3,6,2,4,-,+,3,6
55,16,20,6,3,2,5,-,+,2,6
56,4,2,6,5,1,4,+,-,4,6
57,4,1,4,2,5,6,+,-,2,5
58,4,2,6,5,1,4,+,-,4,6
59,17,19,1,5,6,4,-,+,4,6
60,3,1,1,6,4,5,+,-,4,6
61,6,4,5,4,1,6,+,-,4,6
62,15,18,2,6,3,4,-,+,3,6
63,5,2,5,4,2,6,+,-,2,5
64,16,18,1,5,4,6,-,+,4,6
65,17,20,3,5,6,4,-,+,3,6
66,6,2,5,3,6,2,+,-,2,6
67,3,6,6,3,5,1,+,-,6,3
68,17,15,5,6,4,1,-,+,6,4
69,17,20,3,5,6,4,-,+,3,6
70,6,2,5,3,6,2,+,-,2,6
71,17,20,3,5,6,4,-,+,3,6
72,4,2,4,6,5,1,+,-,4,6
73,5,1,5,2,3,6,+,-,2,6
74,4,2,5,2,1,4,+,-,2,4
75,17,20,3,5,6,4,-,+,3,6
76,5,1,5,2,3,6,+,-,2,6
77,6,2,2,6,5,3,+,-,2,6
78,4,1,2,4,6,3,+,-,3,6
79,6,2,2,6,5,3,+,-,2,6
80,17,20,2,3,4,6,-,+,3,6
81,4,1,2,6,4,5,+,-,2,5
82,6,4,6,1,4,5,+,-,4,6
83,17,20,4,6,5,3,-,+,3,6
84,17,20,5,6,4,2,-,+,2,5
85,5,2,6,4,2,5,+,-,2,5
86,5,2,5,3,6,1,+,-,3,6
87,17,20,5,4,3,6,-,+,3,6
88,5,2,5,3,6,1,+,-,3,6
89,17,20,5,4,3,6,-,+,3,6
90,15,19,5,6,3,2,-,+,2,6
91,3,1,4,6,5,1,+,-,4,6
92,5,2,5,3,6,1,+,-,3,6
93,3,6,6,5,1,3,+,-,6,3
94,5,3,4,6,5,1,+,-,4,6
95,15,17,6,1,5,4,-,+,4,6
96,16,19,5,3,4,6,-,+,3,6
97,3,1,4,2,5,1,+,-,2,4
98,16,19,5,3,4,6,-,+,3,6
99,6,3,5,4,6,3,+,-,3,6
100,15,18,5,6,3,4,-,+,3,6
