# Pipe puzzles: 2 slots, 4 distinct tray pipes, start/target on 1–20 ruler.
# Schema: id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
id,start,target,p1,p2,p3,p4,op1,op2,s0,s1
1,12,5,5,1,3,6,-,-,6,1
2,13,4,1,4,6,5,-,-,4,5
3,10,3,2,1,4,3,-,-,4,3
4,12,2,4,3,2,6,-,-,4,6
5,17,9,1,3,4,5,-,-,3,5
6,10,2,1,3,5,6,-,-,3,5
7,14,5,4,6,2,3,-,-,3,6
8,15,8,3,1,6,2,-,-,1,6
9,13,7,2,1,3,5,-,-,5,1
10,20,13,5,4,3,1,-,-,3,4
11,18,9,6,5,3,1,-,-,6,3
12,8,4,1,2,6,3,-,-,3,1
13,15,10,2,6,3,1,-,-,3,2
14,18,9,6,3,2,5,-,-,6,3
15,15,11,5,1,6,3,-,-,3,1
16,18,8,4,3,6,5,-,-,4,6
17,20,10,4,2,6,1,-,-,6,4
18,13,3,1,3,6,4,-,-,4,6
19,15,12,6,2,4,1,-,-,1,2
20,17,9,5,4,6,3,-,-,3,5
21,17,10,3,2,5,1,-,-,2,5
22,8,5,4,2,1,5,-,-,2,1
23,12,6,2,4,5,3,-,-,2,4
24,13,4,3,1,4,6,-,-,3,6
25,15,7,4,3,2,5,-,-,3,5
26,12,3,4,6,3,1,-,-,3,6
27,15,8,1,4,6,5,-,-,6,1
28,14,3,2,1,6,5,-,-,6,5
29,8,1,6,3,5,4,-,-,3,4
30,8,2,4,2,3,1,-,-,4,2
31,9,1,2,6,4,5,-,-,2,6
32,19,11,5,4,3,6,-,-,3,5
33,9,1,1,3,2,5,-,-,3,5
34,11,1,2,6,1,4,-,-,4,6
35,11,3,5,4,3,2,-,-,5,3
36,12,2,4,6,2,3,-,-,4,6
37,19,16,2,1,6,5,-,-,2,1
38,15,9,5,3,4,2,-,-,4,2
39,14,6,2,1,6,3,-,-,2,6
40,18,7,5,6,1,4,-,-,5,6
41,10,6,5,3,1,2,-,-,1,3
42,14,5,3,2,4,6,-,-,6,3
43,15,4,6,5,4,3,-,-,5,6
44,13,5,6,3,1,5,-,-,5,3
45,16,7,4,2,5,3,-,-,4,5
46,8,5,5,2,4,1,-,-,2,1
47,19,12,6,4,1,2,-,-,6,1
48,14,5,4,2,6,3,-,-,6,3
49,8,3,2,6,4,1,-,-,4,1
50,11,4,4,5,1,6,-,-,6,1
51,19,8,5,4,2,6,-,-,5,6
52,8,1,2,6,3,5,-,-,2,5
53,9,2,6,4,5,3,-,-,4,3
54,14,4,1,6,3,4,-,-,6,4
55,20,14,3,1,4,2,-,-,2,4
56,8,1,4,1,3,5,-,-,3,4
57,15,4,6,5,1,4,-,-,6,5
58,13,5,6,2,1,4,-,-,2,6
59,8,1,3,5,1,4,-,-,3,4
60,13,5,3,6,5,4,-,-,3,5
61,20,15,4,1,6,2,-,-,4,1
62,18,14,1,5,6,3,-,-,3,1
63,14,10,3,5,1,6,-,-,3,1
64,15,8,4,6,1,5,-,-,6,1
65,14,8,4,2,3,1,-,-,4,2
66,19,11,3,1,6,2,-,-,6,2
67,13,4,3,4,2,5,-,-,5,4
68,20,13,1,2,6,3,-,-,1,6
69,16,13,2,5,1,6,-,-,2,1
70,15,5,5,4,6,3,-,-,6,4
71,8,4,2,6,1,3,-,-,1,3
72,15,10,1,6,2,4,-,-,4,1
73,10,1,2,3,4,6,-,-,3,6
74,17,10,3,6,5,2,-,-,5,2
75,8,1,6,5,3,2,-,-,2,5
76,20,12,6,3,2,4,-,-,2,6
77,10,7,1,5,2,4,-,-,1,2
78,15,8,4,2,5,6,-,-,2,5
79,18,11,1,3,5,4,-,-,4,3
80,11,2,4,5,6,2,-,-,5,4
81,9,4,2,6,3,1,-,-,2,3
82,17,13,3,6,1,5,-,-,3,1
83,11,2,5,2,6,4,-,-,4,5
84,18,9,3,4,5,1,-,-,5,4
85,19,14,6,3,2,4,-,-,2,3
86,8,4,1,5,3,6,-,-,3,1
87,14,9,1,2,6,3,-,-,2,3
88,17,13,6,1,2,3,-,-,1,3
89,17,12,2,3,1,6,-,-,2,3
90,10,1,3,4,2,6,-,-,6,3
91,14,4,6,1,4,5,-,-,6,4
92,13,4,1,2,3,6,-,-,6,3
93,14,5,4,2,6,3,-,-,3,6
94,17,7,4,2,6,5,-,-,6,4
95,19,15,6,5,3,1,-,-,1,3
96,12,3,6,3,2,1,-,-,3,6
97,12,8,1,3,5,6,-,-,3,1
98,11,4,5,2,3,6,-,-,5,2
99,9,1,2,6,4,5,-,-,6,2
100,16,11,3,4,2,6,-,-,2,3
